Local time,Ask,Bid,AskVolume,BidVolume
24.03.2025 02:36:17.100 GMT-0400,18.930000000000003,18.72,0.006,0.006
24.03.2025 02:50:37.960 GMT-0400,18.87,18.680000000000003,0.006,0.006
24.03.2025 04:03:12.391 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 04:05:08.121 GMT-0400,18.78,18.57,0.006,0.006
24.03.2025 04:05:08.272 GMT-0400,18.82,18.630000000000003,0.006,0.006
24.03.2025 04:18:07.512 GMT-0400,18.880000000000003,18.669999999999998,0.006,0.006
24.03.2025 04:22:25.461 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 04:26:06.668 GMT-0400,18.880000000000003,18.669999999999998,0.006,0.006
24.03.2025 04:36:25.712 GMT-0400,18.830000000000002,18.62,0.006,0.006
24.03.2025 04:37:20.419 GMT-0400,18.87,18.680000000000003,0.006,0.006
24.03.2025 04:37:27.623 GMT-0400,18.880000000000003,18.62,0.006,0.006
24.03.2025 04:37:31.933 GMT-0400,18.87,18.680000000000003,0.006,0.006
24.03.2025 04:37:40.955 GMT-0400,18.82,18.630000000000003,0.006,0.006
24.03.2025 04:37:58.973 GMT-0400,18.880000000000003,18.669999999999998,0.006,0.006
24.03.2025 04:38:29.793 GMT-0400,18.880000000000003,18.62,0.006,0.006
24.03.2025 04:38:30.544 GMT-0400,18.87,18.680000000000003,0.006,0.006
24.03.2025 04:40:14.380 GMT-0400,18.82,18.630000000000003,0.006,0.006
24.03.2025 04:41:57.300 GMT-0400,18.87,18.680000000000003,0.006,0.006
24.03.2025 04:56:45.405 GMT-0400,18.919999999999998,18.73,0.006,0.006
24.03.2025 04:57:03.485 GMT-0400,18.880000000000003,18.669999999999998,0.006,0.006
24.03.2025 05:03:57.223 GMT-0400,18.930000000000003,18.72,0.006,0.006
24.03.2025 05:05:16.139 GMT-0400,18.87,18.680000000000003,0.006,0.006
24.03.2025 05:05:16.289 GMT-0400,18.930000000000003,18.669999999999998,0.006,0.006
24.03.2025 05:05:17.040 GMT-0400,18.919999999999998,18.73,0.006,0.006
24.03.2025 05:05:26.197 GMT-0400,18.930000000000003,18.669999999999998,0.006,0.006
24.03.2025 05:05:26.398 GMT-0400,18.87,18.680000000000003,0.006,0.006
24.03.2025 05:05:26.548 GMT-0400,18.930000000000003,18.669999999999998,0.006,0.006
24.03.2025 05:05:27.100 GMT-0400,18.919999999999998,18.73,0.006,0.006
24.03.2025 05:05:47.627 GMT-0400,18.919999999999998,18.680000000000003,0.006,0.006
24.03.2025 05:05:47.777 GMT-0400,18.880000000000003,18.669999999999998,0.006,0.006
24.03.2025 05:23:44.685 GMT-0400,18.919999999999998,18.73,0.006,0.006
24.03.2025 05:26:23.192 GMT-0400,18.97,18.78,0.006,0.006
24.03.2025 05:34:42.647 GMT-0400,19.02,18.830000000000002,0.006,0.006
24.03.2025 05:36:15.397 GMT-0400,18.97,18.78,0.006,0.006
24.03.2025 05:43:14.461 GMT-0400,18.919999999999998,18.73,0.006,0.006
24.03.2025 05:43:22.358 GMT-0400,18.97,18.78,0.006,0.006
24.03.2025 05:45:29.392 GMT-0400,18.919999999999998,18.73,0.006,0.006
24.03.2025 05:49:42.614 GMT-0400,18.880000000000003,18.669999999999998,0.006,0.006
24.03.2025 05:50:03.054 GMT-0400,18.919999999999998,18.73,0.006,0.006
24.03.2025 05:50:09.819 GMT-0400,18.880000000000003,18.669999999999998,0.006,0.006
24.03.2025 05:51:04.309 GMT-0400,18.930000000000003,18.72,0.006,0.006
